idSensore;nome;latitudine;longitudine;quota
37384;OMIGNANO SCALO;40.2575;15.12972222;-999
18901;OTTAVIANO;40.85472222;14.47861111;-999
12263;PADULI;41.14805556;14.83472222;-999
36914;PAGO VEIANO;41.25972222;14.8975;-999
37261;PALMA CAMPANIA;40.87472222;14.56083333;-999
18925;PELLEZZANO;40.72861111;14.75638889;-999
51707;PERITO-OSTIGLIANO;40.3211111;15.151388888888889;-999
12247;PERSANO SELE;40.54416667;15.0325;-999
15280;PIANI DI PRATO;40.83472222;14.64861111;-999
18887;PIETRAMELARA;41.26472222;14.20916667;-999
38977;PIZZOLANO;40.785;14.78638889;-999
17266;POMPEI;40.75666667;14.4925;-999
12298;PONTE CAMERELLE;40.73416667;14.68472222;-999
20912;PONTE VALENTINO;41.14166667;14.83583333;-999
21364;PONTE VENTICINQUE ARCHI;41.51861111;14.1375;-999
21530;PONTECAGNANO;40.6425;14.86638889;-999
21781;PONTELATONE;41.20416667;14.24166667;-999
37717;POSITANO;40.63027778;14.50333333;-999
36545;POSTIGLIONE METEO 1;40.56169667;15.23669667;-999
36558;POSTIGLIONE METEO 2;40.56166667;15.23666667;-999
18953;POZZUOLI;40.82972222;14.13527778;-999
21452;QUATTROVENTI;41.35277778;14.21222222;-999
15282;QUINDICI 2;40.86472222;14.64861111;-999
38485;QUINDICI;40.855;14.65722222;-999
21756;RAVELLO;40.65666667;14.61444444;-999
51659;RAVELLO-SAMBUCO;40.6752778;14.611388888888888;-999
36924;ROCCA D'EVANDRO;41.40583333;13.88972222;-999
38784;ROCCA D'EVANDRO METEO 1;41.42448444;13.88005;-999
38796;ROCCA D'EVANDRO METEO 2;41.42444444;13.88;-999
36896;ROCCADASPIDE;40.47583333;15.17027778;-999
51675;ROCCAGLORIOSA;40.115;15.4425;-999
21792;ROCCAMONFINA;41.27694444;13.96805556;-999
37283;ROCCHETTA;41.12444444;14.97055556;-999
38528;ROFRANO;40.21611111;15.43444444;-999
51691;ROFRANO-FISTOLE FARAONE;40.2469444;15.412777777777778;-999
18893;ROTONDI;41.02111111;14.58944444;-999
18899;S.AGATA DEI GOTI;41.08555556;14.49916667;-999
36920;S.AGATA DEI GOTI ISCLERO;41.10222222;14.46388889;-999
20885;S.AMBROGIO;41.40527778;13.86888889;-999
17272;S.ANGELO D'ALIFE;41.35333333;14.23638889;-999
20922;S.ANGELO THEODICE;41.44333333;13.83444444;-999
36246;S.BARTOLOMEO IN GALDO METEO 1;41.42197444;15.04056556;-999
36262;S.BARTOLOMEO IN GALDO METEO 2;41.42194444;15.04055556;-999
21520;S.CASTRESE;41.28027778;13.83611111;-999
18770;S.FELICE A CANCELLO;40.99972222;14.47861111;-999
38667;S.MARCO EVANGELISTA METEO 1;41.02255;14.33588333;-999
38679;S.MARCO EVANGELISTA METEO 2;41.0225;14.33583333;-999
36899;S.MARIA A VICO;41.0275;14.48583333;-999
18905;S.MARTINO VALLE CAUDINA;40.99722222;14.67638889;-999
36887;S.MARZANO SARNO;40.77972222;14.57305556;-999
12294;S.MAURO;40.76388889;14.63222222;-999
38545;S.MAURO LA BRUCA;40.12777778;15.28833333;-999
12290;S.PIETRO;40.81833333;14.78694444;-999
38595;S.SALVATORE TELESINO METEO 1;41.24669667;14.47279778;-999
38608;S.SALVATORE TELESINO METEO 2;41.24666667;14.47277778;-999
36908;SALA CONSILINA;40.39416667;15.60305556;-999
37378;SALA CONSILINA TANAGRO;40.39111111;15.57138889;-999
18957;SALERNO GENIO CIVILE;40.67805556;14.75138889;-999
18951;SALERNO GIOVI;40.67472222;14.8325;-999
36403;SALERNO METEO 1;40.64365111;14.83641889;-999
36415;SALERNO METEO 2;40.64361111;14.83638889;-999
38496;SANZA;40.24416667;15.55333333;-999
51679;SAPRI TIMPONE;40.0741667;15.652222222222223;-999
38445;SARNO;40.835;14.595;-999
45079;SCALA - PONTONE;40.64111111;14.60388889;-999
51663;SCALA-S.CATERINA;40.6602778;14.603333333333333;-999
12286;SENERCHIA;40.73861111;15.20555556;-999
21746;SERINO;40.89111111;14.84444444;-999
36891;SICIGNANO;40.60444444;15.2925;-999
51683;SILLA SASSANO;40.3583333;15.58388888888889;-999
18933;SOLOFRA;40.82361111;14.855;-999
21519;SORA;41.72222222;13.61944444;-999
18393;SORGENTI GRASSANO;41.22194444;14.50166667;-999
21739;SORRENTO;40.62972222;14.38222222;-999
38530;TORCHIARA;40.32055556;15.0575;-999
38548;TORRACA;40.11555556;15.6275;-999
18929;TORRE DEL GRECO;40.79416667;14.38055556;-999
36275;TORRE ORSAIA METEO 1;40.13197444;15.45865111;-999
36288;TORRE ORSAIA METEO 2;40.13194444;15.45861111;-999
15285;TORRIELLO;40.8475;14.62583333;-999
21735;TRAMONTI;40.70277778;14.64611111;-999
51655;TRAMONTI CHIUNZI;40.7188889;14.620277777777778;-999
37294;VALLO DELLA LUCANIA;40.22972222;15.2625;-999
12307;VIETRI;40.595;15.5175;-999
51647;ALBORI;40.6705556;14.712222222222222;-999
51638;DRAGONEA;40.6783333;14.70611111111111;-999
18903;VISCIANO;40.9275;14.58638889;-999
18398;BAGNOLI IRPINO;40.82722222;15.07444444;-999
20905;PIETRASTORNINA;40.9925;14.73416667;-999
18935;PIMONTE40.67333333;14.50388889;-999
15276;SARNO 2;40.82944444;14.61388889;-999
