SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation_dem;nomeTemp;idSensoreTemp;nomePrec;idSensorePrec;distanzakm_sensoreTemp_sensorePrec
49;NA;Montesano terme;1070118.7874244375;4480359.868394911;776.3768310546875;Montesano terme;38543;Montesano terme;38542;0
50;NA;Morcone;974181.661163646;4591489.031998022;694.81561279296875;Morcone;37715;Morcone;37714;0
51;NA;Morigerati;1059131.3769985302;4464418.503892449;282.2474365234375;Morigerati;40112;Morigerati;40111;0
52;NA;Nisida meteo 1;935724.12862898;4528706.760484061;12.040120124816895;Nisida meteo  1;36127;Nisida meteo 1;36128;0.0103554690325965
53;NA;Nisida meteo 2;935706.3446053262;4528692.335412581;12.040120124816895;Nisida meteo  2;36218;Nisida meteo 2;36224;0
54;NA;Paduli;989723.4720866608;4571631.130018822;139.45266723632812;Paduli;12262;Paduli;12263;0
55;NA;Palma campania;968665.2539173178;4539758.721584268;82.992340087890625;Palma campania;37262;Palma campania;37261;0
56;NA;Persano sele;1010968.5771290618;4505677.756584231;20.16884422302246;Persano sele;12246;Persano sele;12247;0
57;NA;Pietrastornina;982419.8113102836;4553788.107443926;428.0415954589844;Pietrastornina;20906;Pietrastornina;20905;0
58;NA;Pizzolano;988344.457648258;4531028.153753891;325.88677978515625;Pizzolano;38978;Pizzolano;38977;0
59;NA;Pompei;963727.820789489;4526280.246847237;25.241117477416992;Pompei;17267;Pompei;17266;0
60;NA;Pontelatone;939550.7069734714;4574686.481121779;233.7880096435547;Pontelatone;21782;Pontelatone;21781;0
61;NA;Positano;965524.8520822568;4512298.424970365;410.88214111328125;Positano;37718;Positano;37717;0
62;NA;Postiglione meteo 1;1028136.5445733092;4508834.5321337525;571.119873046875;Postiglione meteo  1;36546;Postiglione meteo 1;36545;0.00139551643603787
63;NA;Postiglione meteo 2;1028134.2394339489;4508831.018418534;571.119873046875;Postiglione meteo  2;36559;Postiglione meteo 2;36558;0
64;NA;Ravello;974740.5130956527;4515825.759120217;356.9457702636719;Ravello;21757;Ravello;21756;0
65;NA;Rocca d'evandro meteo 1;907837.2300183767;4597386.947213772;57.97590637207031;Rocca d'evandro meteo  1;38786;Rocca d'evandro meteo 1;38784;0.0209865368693928
66;NA;Rocca d'evandro meteo 2;907833.301111503;4597382.268369818;57.97590637207031;Rocca d'evandro meteo  2;38798;Rocca d'evandro meteo 2;38796;0
67;NA;Roccadaspide;1023178.7548036594;4498897.292865225;368.0654602050781;Roccadaspide;36897;Roccadaspide;36896;0
68;NA;Roccamonfina;916135.463392772;4581419.131256065;562.888427734375;Roccamonfina;22717;Roccamonfina;21792;0
69;NA;Rocchetta;1001310.2312936059;4569784.076718538;495.52667236328125;Rocchetta;37284;Rocchetta;37283;0
70;NA;S.angelo d'alife;938106.1711651834;4591228.433395329;135.62631225585938;S.angelo d'alife;17273;S.angelo d'alife;17272;0
71;NA;S.bartolomeo in galdo meteo 1;1004884.0750214846;4603244.988476961;717.55224609375;S.bartolomeo meteo  1;36240;S.bartolomeo in galdo meteo 1;36246;0.018919860658866
72;NA;S.bartolomeo in galdo meteo 2;1004883.4721541917;4603241.597104227;717.55224609375;S.bartolomeo meteo  2;36256;S.bartolomeo in galdo meteo 2;36262;0
73;NA;S.marco evangelista meteo 1;948693.3897435323;4554995.038759754;32.23016357421875;S.marco evangelista meteo  1;38662;S.marco evangelista meteo 1;38667;0.00418324888125122
74;NA;S.marco evangelista meteo 2;948689.5240422878;4554989.227072014;32.23016357421875;S.marco evangelista meteo  2;38674;S.marco evangelista meteo 2;38679;0
75;NA;S.maria a vico;961273.2447031538;4556329.139861097;100.91332244873047;S.maria a vico;36900;S.maria a vico;36899;0
76;NA;S.mauro;975478.3368252141;4527832.9104074575;40.64668273925781;S.mauro;12295;S.mauro;12294;0
77;NA;S.pietro;988146.1380284736;4534734.202844736;204.2464141845703;S.pietro;12291;S.pietro;12290;0
78;NA;S.salvatore telesino meteo 1;958641.9914040072;4580608.520853135;135.3975830078125;S.salvatore telesino meteo  1;38590;S.salvatore telesino meteo 1;38595;0.00110985533930219
79;NA;S.salvatore telesino meteo 2;958640.525165295;4580605.082521046;135.3975830078125;S.salvatore telesino meteo  2;38602;S.salvatore telesino meteo 2;38608;0
80;NA;Sala consilina;1060579.914701859;4492490.986102357;612.178955078125;Sala consilina;36909;Sala consilina;36908;0
81;NA;Salerno meteo 1;993615.8793971275;4515606.596383913;12.622167587280273;Salerno meteo  1;36398;Salerno meteo 1;36403;0.00238230708325479
82;NA;Salerno meteo 2;993613.636679393;4515601.983767837;12.622167587280273;Salerno meteo  2;36410;Salerno meteo 2;36415;0
83;NA;Sanza;1057594.6386745407;4475508.185308278;582.74859619140625;Sanza;38497;Sanza;38496;0
84;NA;Senerchia;1024105.5830804908;4528302.857793266;613.12469482421875;Senerchia;12287;Senerchia;12286;0
85;NA;Serino;992457.5005926341;4543142.169493603;345.9354553222656;Serino;21747;Serino;21746;0
86;NA;Sora;884278.7377900375;4629257.191930787;310.98858642578125;Sora;21797;Sora;21519;0
87;NA;Sorgenti grassano;961236.8465981532;4578012.30792705;76.78893280029297;Sorgenti grassano;18395;Sorgenti grassano;18393;0
88;NA;Torchiara;1014797.1468846898;4480981.10283747;306.5766906738281;Torchiara;38531;Torchiara;38530;0
89;NA;Torraca;1064981.10191674;4461688.603449482;487.939208984375;Torraca;38549;Torraca;38548;0
90;NA;Torre orsaia meteo 1;1050443.5631818208;4462448.369387448;312.9211730957031;Torre orsaia meteo  1;36269;Torre orsaia meteo 1;36275;0.0195969329021511
91;NA;Torre orsaia meteo 2;1050440.3949504248;4462444.787108157;312.9211730957031;Torre orsaia meteo  2;36282;Torre orsaia meteo 2;36288;0
92;NA;Torriello;974340.8227424975;4537086.026789605;839.53033447265625;Torriello;15286;Torriello;15285;0
93;NA;Tramonti;977089.3596225233;4521120.053777301;412.32421875;Tramonti;21736;Tramonti;21735;0
94;NA;Vallo della lucania;1032946.0945107808;4472106.631883399;354.3302917480469;Vallo della lucania;37295;Vallo della lucania;37294;0
95;NA;S.mauro la bruca;1035951.2789825342;4460936.295464343;443.1933288574219;S.mauro la bruca;38546;S.mauro la bruca;38545;0
96;NA;Cellole meteo 2;905767.179187998;4571826.1517077405;9.527722358703613;Cellole meteo  2;36316;Cellole meteo 2;36322;0
97;NA;Colle sannita;988444.2562319576;4596157.632716944;732.5137939453125;Colle sannita;20898;Colle sannita;20897;0
98;NA;Contursi meteo;1028524.106663467;4521607.336653609;214.49868774414062;Contursi meteo;17256;Contursi meteo;17255;0
99;NA;Agerola;968996.4597812283;4513384.4725624295;641.91357421875;NA;NA;Agerola;21767;NA
100;NA;Ailano;932590.274228957;4594116.828205823;146.758544921875;NA;NA;Ailano;37374;NA
101;NA;Albanella;1009844.6040446204;4500329.8472167645;10.285944938659668;NA;NA;Albanella;36570;NA
102;NA;Albanella calore;1012085.8859245756;4502157.876443452;11.01546573638916;NA;NA;Albanella calore;36572;NA
103;NA;Alfano;1047747.2035883884;4467057.941833309;219.2927703857422;NA;NA;Alfano;40114;NA
104;NA;Amalfi;972023.0467728602;4511810.535620144;391.3159484863281;NA;NA;Amalfi;21753;NA
105;NA;Amalfi-pogerola;972874.9010497334;4513630.725380053;330.3196105957031;NA;NA;Amalfi-pogerola;51667;NA
106;NA;Arienzo;962427.9266526173;4556618.879593223;158.88571166992188;NA;NA;Arienzo;18895;NA
107;NA;Avella;970944.2405723223;4549323.195306363;175.3402862548828;NA;NA;Avella;20909;NA
108;NA;Avigliano;1067174.7742892;4530367.979409931;721.1025390625;NA;NA;Avigliano;38525;NA
109;NA;Baronissi;986880.5033052794;4527150.3716814015;283.78662109375;NA;NA;Baronissi;21774;NA
110;NA;Bellosguardo;1035569.6386285825;4493914.161690009;483.20721435546875;NA;NA;Bellosguardo;12309;NA
111;NA;Bracigliano;981699.8774121839;4535022.741322159;458.8708190917969;NA;NA;Bracigliano;38443;NA
112;NA;Caiazzo;949414.1372880215;4572532.73230879;137.93585205078125;NA;NA;Caiazzo;18947;NA
113;NA;Campora;1036056.1973932249;4479493.311277075;627.759033203125;NA;NA;Campora;51711;NA
114;NA;Capri;943665.358913037;4501825.077132928;77.43297576904297;NA;NA;Capri;18919;NA
115;NA;Capua;937391.1793012803;4563904.291607359;25.76315689086914;NA;NA;Capua;37534;NA
116;NA;Casaletto spartano-melette sorgente;1068150.371400084;4467700.3174298555;672.6248779296875;NA;NA;Casaletto spartano-melette sorgente;51687;NA
117;NA;Caserta vecchia;950895.5124244553;4563332.446388842;315.0306091308594;NA;NA;Caserta vecchia;18945;NA
118;NA;Castel s.lorenzo;1029703.1906203344;4493402.69164013;150.84295654296875;NA;NA;Castel s.lorenzo;51714;NA
119;NA;Castel volturno;915296.9456689288;4554287.708779106;1.5387818813323975;NA;NA;Castel volturno;20881;NA
