Stazione;gradi_lat;primi_lat;secondi_lat;gradi_lon;primi_lon;secondi_lon;quota;lon;lat
PIANO DI VERTEGLIA                                        ;40;49;37.8;14;58;48.4;1190;14.97926877075644;40.82616399213463
PICERNO                                                   ;40;38;25.6;15;38;10.1;683;15.635305930123854;40.639454013855044
PICINISCO                                                 ;41;38;35.1;13;52;13;678;13.869373589360459;41.64208013331792
PICINISCO (Grotta Campanara)                              ;41;40;8;13;54;9;825;13.901594670961318;41.6679092588455
PICO                                                      ;41;27;7.1;13;33;37.9;190;13.559645644902389;41.45096466783372
PIEDIMONE D'ALIFE (Osserv.) / PIEDIM. D'ALIFE (Monte Muto);41;21;57.3;14;23;19.1;544;14.387756136743597;41.3649372055684
PIEDIMONTE D'ALIFE (Scuola Agraria)                       ;41;21;16;14;22;44.9;187;14.378276299069492;41.35346482164776
PIEDIMONTE D'ALIFE / PIDIMONTE MATESE                     ;41;21;30.8;14;22;15.5;180;14.370095904216557;41.357563806042506
PIETRAMELARA                                              ;41;16;6.1;14;11;10.9;138;14.185486465224576;41.267356487578304
PIETRAROIA                                                ;41;21;6;14;33;10.9;772;14.552170945085619;41.350687869476275
PIGNATARO MAGGIORE                                        ;41;11;30.8;14;10;32.1;101;14.174701234956112;41.190885495882775
POLLA                                                     ;40;31;6;15;29;10.9;497;15.48553295156599;40.51734619982599
 POLLA (Molino Maltempo Enel)                           ;40;31;49;15;29;0.9;460;15.482750164116423;40.529294602963006
POMIGLIANO D'ARCO                                      ;40;54;6;14;22;11;30;14.368834966643483;40.900685641431245
POMPEI (Osserv.) / POMPEI (Santuario) / VALLE DI POMPEI;40;45;6;14;30;9.3;14;14.501707253156754;40.75067096599789
PONTE CASALDUNI                                        ;41;15;46.8;14;41;59.8;271;14.699073285314663;41.26202582102733
PONTE CAMERELLE                                        ;40;44;7.1;14;41;8.4;112;14.684800957745905;40.73430809412773
PONTECAGNANO (Aeronautica Militare)                    ;40;37;32.1;14;54;38.9;34;14.909951156242968;40.624572373839804
PONTECAGNANO / PONTECAGNANO (Paese)                    ;40;39;6;14;52;10.9;31;14.868849011896353;40.6506853602813
PONTECORVO (Enel)                                      ;41;28;7.6;13;37;57.7;69;13.631805537428178;41.4677793074424
PONZA                                                  ;40;53;6.1;12;57;10.9;82;12.952131673808513;40.884011542867604
PONZA (Aeroporto Militare)                             ;40;54;4.5;12;57;30.3;186;12.957507610553003;40.900230350774734
PONZA (Semaforo)                                       ;40;53;3.4;12;57;21.8;290;12.955156860175592;40.88328158540731
PORTICI / PORTICI (Scuola Agraria)                     ;40;49;1.7;14;21;7.1;92;14.351103996199837;40.81614337861629
POSITANO                                               ;40;37;52.5;14;28;55.3;176;14.481165939466319;40.63024361643677
POZZO SAN ROMANO                                       ;40;50;49.1;14;37;5.6;767;14.617366852396133;40.84598040052318
POZZUOLI                                               ;40;49;50.8;14;8;11.4;166;14.135622999023855;40.82977403796973
POZZUOLI (Sede Enel)                                   ;40;49;40.1;14;7;30.9;41;14.124383641858078;40.826797616855096
POZZUOLI /POZZUOLI (Solfatara)                         ;40;49;50.8;14;8;11.4;134;14.135622999023855;40.82977403796973
PRATA SANNITA                                          ;41;26;4;14;13;0.5;331;14.215920812681523;41.43346812390988
PRATELLA                                               ;41;24;29.7;14;10;54.7;159;14.180977742441977;41.407265346283836
PRATOLA SERRA                                          ;40;59;4.1;14;50;57.9;281;14.84856599601477;40.98346872473766
PRESA SUIO                                             ;41;18;53.6;13;53;36.6;38;13.892601842058134;41.313885403975625
PRESENZANO                                             ;41;22;15;14;6;21.9;139;14.105207963718076;41.369851656194804
PROCIDA (Porto)                                        ;40;45;7.2;14;1;8.4;10;14.018128892984778;40.75099310264658
PUGLIANO (Resina)                                      ;40;49;6.1;14;21;10.9;95;14.352159439179614;40.81734742325637
QUINDICI                                               ;40;51;56.4;14;38;59.1;269;14.648882235468799;40.864673905531895
RAVELLO                                                ;40;38;58;14;36;55;300;14.6144169018705;40.648440465520245
REINO                                                  ;41;17;33.8;14;49;23.8;404;14.822416502155185;41.291737412799016
RIPI                                                   ;41;36;47;13;25;33;275;13.424914191175526;41.61207057098779
ROCCADASPIDE                                           ;40;25;37.3;15;11;37.9;350;15.193025585901225;40.4260431072549
ROCCADEVANDRO                                          ;41;23;22.1;13;54;32.8;217;13.908237047145779;41.38848100287079
ROCCAGLORIOSA                                          ;40;6;34.6;15;26;1.1;386;15.432805134286108;40.10859212394612
ROCCAMONFINA                                           ;41;17;32.5;13;59;6.9;610;13.984368924327953;41.29136630053529
ROCCAROMANA                                            ;41;16;32.4;14;13;28.8;183;14.223794065646153;41.27467412456292
ROCCASECCA                                             ;41;33;8;13;40;21.9;283;13.671869167439008;41.55124009452143
ROCCASICURA                                            ;41;41;48;14;13;48.9;725;14.229376229145847;41.69568613131362
ROCCAVIVI                                              ;41;48;47;13;32;14.9;471;13.536582481228358;41.81207252837163
ROCCHETTA A VOLTURNO                                   ;41;38;20;14;4;34;560;14.075215134538702;41.637912998306376
ROFRANO                                                ;40;12;51;15;25;25.9;405;15.423022554383012;40.21317377669046
ROSCIGNO                                               ;40;24;9.1;15;20;26.9;500;15.339964991497755;40.40151507830474
RUOTI                                                  ;40;43;6;15;40;11;667;15.668877517760427;40.7173507917171
RUTINO                                                 ;40;18;7.9;15;4;14;388;15.069717511016435;40.301181101173334
S. AGATA DEI GOTI                                      ;41;5;32;14;30;22;139;14.505227121204289;41.09124276998695
S. ANDREA AL PIZZONE                                   ;41;8;50.1;14;2;19.9;13;14.037983406380382;41.14624514087907
S. ANGELO IN THEODICE                                  ;41;26;45.1;13;49;60;47;13.832438466548462;41.44486994830139
S. ANGELO A FASANELLA                                  ;40;27;24.6;15;20;40.2;501;15.343658841380105;40.455837651629814
S. ANGELO D'ALIFE                                      ;41;20;30.4;14;15;52.8;146;14.26378947925011;41.34079133468464
S. ANTIMO                                              ;40;56;6.1;14;14;10.9;73;14.235492362916478;40.934019778680096
S. BENEDETTO DEI MARSI / S.BENEDETTO (E. F.)           ;42;0;44;13;37;60;691;13.632415879321453;42.01124261135406
S. BIAGIO SARACINESCO                                  ;41;36;54;13;55;37;838;13.926045718932494;41.614017439479554
S. BIAGIO SARACINESCO (Contrada Selva - Enel)          ;41;36;6;13;56;10.9;1050;13.935482562635858;41.600684745731535
S. CARLO (Sessa Aurunca)                               ;41;18;39.1;13;55;9.3;380;13.918366095461572;41.309860877528145
S. CROCE DEL SANNIO                                    ;41;23;21.3;14;44;0.3;696;14.732544131743277;41.388269536977965
S. DOMENICO DI SORA (Pr)                               ;41;41;51;13;34;51;271;13.579919964487924;41.69652062265042
S. DOMENICO DI SORA (Cartiera Boimond) (P)             ;41;41;54.3;13;34;53.8;271;13.580704904061532;41.697440003280974
S. DONATO VAL DI COMINO                                ;41;42;31;13;48;51.9;657;13.813537088045035;41.70762781706135
S. ELIA FIUME RAPIDO / CHIUSANOVA S. ELIA              ;41;32;40;13;52;11;111;13.868815412933028;41.54346570069287
S. FRANCESCA DI VEROLI                                 ;41;43;9;13;27;1.9;486;13.449637476856308;41.718181841610615
S. GIORGIO A LIRI                                      ;41;24;31.8;13;45;58.6;38;13.765385338445254;41.40784359475456
S. GIORGIO LA MOLARA                                   ;41;16;23.1;14;55;9.9;609;14.91857103099964;41.27208263507803
S. GIOVANNI INCARICO                                   ;41;30;38.9;13;33;49.2;82;13.562763379535491;41.50981078463071
S. GIOVANNI A PIRO                                     ;40;3;1.5;15;27;8.7;467;15.45158677838995;40.049426724536104
S. GREGORIO D'ALIFE                                    ;41;23;11.3;14;22;38.5;735;14.376476427267102;41.38547682223613
S. GREGORIO MATESE / (Enel)                            ;41;23;22.1;14;21;18.9;525;14.354380311326072;41.38847155707153
S. LEUCIO DEL SANNIO (BENEVENTO)                       ;41;4;33.1;14;45;31.9;350;14.758006893406291;41.074854629566666
S. LORENZO MAGGIORE                                    ;41;15;9.3;14;37;44.6;319;14.628186857397619;41.25159493246403
S. MARIA CAPUA VETERE                                  ;41;4;47.5;14;15;6.7;34;14.250982474401427;41.07886278998523
S. MARTINO VALLE CAUDINA                               ;41;1;46;14;40;28.1;275;14.673612506667759;41.02845312032839
S. MAURO CILENTO                                       ;40;14;6;15;2;10.9;295;15.035511296906456;40.23400520446604
S. MAURO LA BRUCA                                      ;40;7;24.5;15;17;19.2;470;15.287824516834334;40.12245834079761
S. NAZZARO CALVI                                       ;41;3;11.1;14;51;26.9;486;14.85661955410624;41.05207598463384
S. PIETRO AVELLANA                                     ;41;46;8;14;11;53;902;14.19715999424964;41.76790822574333
 S. PIETRO INFINE                                      ;41;27;6;13;58;10.9;314;13.968814329864763;41.45068601103137
S. RUFO                                               ;40;26;10.1;15;28;3.9;635;15.466913882287438;40.43512627035552
S. SUMINO (VALLO DELLA LUCANIA)                       ;40;12;10.5;15;16;40.3;475;15.277021500415648;40.20190306753018
S. VITO ROMANO/ (Sacco)                               ;41;52;56;12;58;51;675;12.979907085278798;41.881235997474455
S.MAURO                                               ;40;45;54.5;14;37;59.8;37;14.63240979458132;40.76414254075512
S.PIETRO                                              ;40;49;9.6;14;47;16.2;241;14.786973341654019;40.818339036409384
SALA CONSILINA                                        ;40;24;9.7;15;35;41;611;15.593894327159491;40.40169686094077
SALERNO                                               ;40;40;44.7;14;45;7.1;13;14.751117184500778;40.67806719998993
SALERNO (Contrada Pastena)                            ;40;39;56.1;14;47;32.9;2;14.791615870566234;40.66457132606705
SANZA / SANZA (Enel)                                  ;40;14;40;15;33;10.9;569;15.552195064004215;40.243450453863034
SARNO (Sanatorio)                                     ;40;49;13;14;37;3.4;181;14.616749575182721;40.81927745129131
SARNO / SARNO (S.Maria La Foce)                       ;40;50;0.3;14;35;31.7;36;14.591269194630145;40.83242334653431
SASSANO                                               ;40;21;6;15;34;11;500;15.568871281341067;40.350678184648
SATRIANO DI LUCANIA                                   ;40;32;43.4;15;38;23.2;640;15.638953292470877;40.54438288901683
SCAFATI (Ist. Sp. Tabacchi) / SCAFATI                 ;40;44;40.1;14;30;43.9;9;14.511331369037554;40.743460262254594
SCALA                                                 ;40;38;34.1;14;36;17.2;255;14.60391773156351;40.641801559980365
SEGNI                                                 ;41;41;51;13;1;35;652;13.025464081919408;41.696516386960234
SENERCHIA                                             ;40;44;35;15;12;21.6;593;15.20515270268475;40.74206028677122
SENERCHIA                                             ;40;44;22.5;15;12;23.6;582;15.205710537577044;40.73859099595611
SEPINO                                                ;41;24;29.1;14;37;11;686;14.618843110259899;41.40708105776057
SERINO (Sorgente Pelosi)                              ;40;52;8.1;14;51;58.9;373;14.865514042474816;40.86791349234701
SERINO (Sorgente Urciuoli)                            ;40;53;30.9;14;50;48;331;14.84580951207926;40.89092319283935
SESSA AURUNCA                                         ;41;14;20;13;56;5.9;200;13.934099625698767;41.237911357590484
SETTEFRATI ( Madonna del Canneto)                     ;41;40;40.9;13;54;14.6;1183;13.903169415716796;41.67703930210551
SETTEFRATI (Paese)                                    ;41;40;16.6;13;51;9.8;768;13.851834148678629;41.67029608591322
SGURGOLA                                              ;41;40;20;13;8;52.9;379;13.147128018401448;41.67123525984746
SICIGNANO (Castelluccio Cosentino) / CASTELLUCCIO COS.;40;34;57;15;20;24.9;420;15.339409443992066;40.58151529845081
SORA                                                  ;41;42;5;13;35;15.9;273;13.586864971968119;41.700407097831764
SORA ( I.T.G. Nervi  )                             ;41;42;49;13;36;14;276;13.602980917432198;41.71262818648497
SORBO SERPICO(Loc.Saliceto)                           ;40;55;2;14;53;21.9;488;14.888572930037112;40.91624076485056
SORRENTO                                              ;40;37;6.1;14;22;10.9;269;14.368825722899912;40.61735138854261
SPARANISE                                             ;41;11;19.1;14;5;47;68;14.095495208951219;41.18763335420507
SPERLONGA                                             ;41;15;39.3;13;25;43.5;4;13.427856387648184;41.259916864311585
SS. COSMO E DAMIANO                                   ;41;18;6;13;48;50;196;13.812988543159348;41.300688598892556
STELLA CILENTO                                        ;40;13;58.5;15;5;37.6;393;15.092932866184224;40.23190118799465
TEANO                                                 ;41;15;9.1;14;4;0.9;171;14.066040675949795;41.25152381320936
TEGGIANO                                              ;40;22;46.6;15;32;30.5;620;15.540963056094014;40.378605145727974
TELESE                                                ;41;12;57.3;14;31;57.8;59;14.531852466900807;41.214924233822074
TERELLE                                               ;41;33;14.1;13;46;38.2;950;13.776381666341756;41.55292231354523
TORCHIARA                                             ;40;19;3.1;15;3;26.9;300;15.056621991633484;40.31651298182107
TORELLA DEI LOMBARDI                                  ;40;56;29.1;15;6;58;652;15.115242677496813;40.94041523351738
TORRACA                                               ;40;6;43.9;15;38;16.5;414;15.637098905209221;40.111198257495204
TORRE DEL GRECO                                       ;40;47;43.9;14;22;53.7;117;14.380711032057082;40.794532809744325
TORRIELLO                                             ;40;50;53.7;14;37;37;848;14.62607877932124;40.84725212482393
TRAMONTI (Casa Salzano) / TRAMONTI (Fraz.Gete)        ;40;41;33.1;14;38;41.9;286;14.644111881311293;40.69151611052803
TRAMONTI (Frazione Chiunzi)                           ;40;43;7.8;14;37;25.5;613;14.62287308510867;40.71782586882153
TRAMONTI (Frazione Pietri)                            ;40;42;3.4;14;37;35.3;356;14.625601662330125;40.699952690298865
TRENTOLA / TRENTOLA DUCENTA                           ;40;58;39.1;14;10;38.9;44;14.176606352954243;40.97651990978846
TRIVENTO / TRIVENTO (Centola)                         ;40;2;38.9;15;19;7.2;36;15.317828150453671;40.04312264012805
VAIRANO PATENORA                                      ;41;20;0.7;14;7;56.3;154;14.13142408200057;41.3325363549552
VALLATA                                               ;41;2;15;15;15;10.9;850;15.252188301811847;41.036521449094074
VALLELUCE                                             ;41;34;41;13;51;13;708;13.852707262148293;41.577073606109636
VALLEROTONDA                                          ;41;32;6;13;55;11;812;13.918823195368171;41.53402095331589
VALLO DELLA LUCANIA                                   ;40;13;53.3;15;16;20;411;15.271378114893299;40.23047615666429
VALLO DELLA LUCANIA (Cann.)                           ;40;14;6;15;17;10.9;450;15.28552201743502;40.234009831271365
VALMONTONE / (Sacco)                                  ;41;46;36;12;55;5.9;274;12.917399303657255;41.77568306608378
VALVA                                                 ;40;45;6;15;16;11;540;15.268862004227099;40.75068577453925
VENA (Impianto Idrovoro)                              ;40;59;27.3;13;59;45.4;1;13.995071974722242;40.98993450309182
VENAFRO                                               ;41;29;3;14;2;57.9;176;14.048539648395217;41.48318681402022
VETTICA MINORE                                        ;40;37;23.7;14;34;49.8;108;14.579642395848365;40.62224793032209
VIETRI DI POTENZA                                     ;40;35;34.1;15;31;0.6;682;15.515993353138818;40.59180712554115
VIETRI SUL MARE                                       ;40;40;30.4;14;43;46.7;143;14.728792735178061;40.67410716020385
VILLA LITERNO                                         ;41;0;34.1;14;4;34.9;9;14.075486779631133;41.00846139173962
VILLA LITERNO (Campo Volturno)                        ;40;58;20.1;14;5;32.9;19;14.091599576458304;40.97124224200639
VILLAVALLELONGA                                       ;41;52;34;13;37;0.9;944;13.616028793587766;41.87513051762609
VITULANO                                              ;41;10;26;14;39;4.3;412;14.650329295725271;41.172890976852294
VITULAZIO                                             ;41;10;6.1;14;13;10.9;94;14.218827632920977;41.167358696429396
VOLTURARA IRPINA                                      ;40;52;6;14;55;10.9;814;14.918843389375752;40.86735077282399
