Stazione;gradi_lat;primi_lat;secondi_lat;gradi_lon;primi_lon;secondi_lon;quota;lon;lat
CAPO PALINURO (Aero.Militare) /CAPO PALINURO;40;1;34;15;16;52.9;175;15.280512324084873;40.02510957800376
CAPOSELE / (Acquedotto Pugliese)            ;40;49;2.1;15;13;17.9;419;15.220795700223528;40.81624347943014
CAPPADOCIA                                  ;42;0;24;13;16;51;1096;13.27991382642998;42.005680994845015
CAPRI (Aeronautica Militare)                ;40;32;57.7;14;14;27.2;265;14.240025556982303;40.54835277490003
 CAPRI (Semaforo)                                    ;40;32;46.2;14;15;15.6;261;14.253453211954195;40.54517915339238
CAPRIATI AL VOLTURNO                                ;41;28;7.4;14;8;54.1;292;14.147488844630185;41.46774067240082
CAPUA                                               ;41;6;29.1;14;12;52.9;24;14.213825975335112;41.10708024334973
CAPUA P. ANNIBALE                                   ;41;8;6.2;14;16;19.1;22;14.271097733455116;41.13406610497489
CARDITO (Lago Selva Enel)                           ;41;36;23;13;58;21;900;13.971598528253175;41.60540895781182
CARIFE                                              ;41;1;41;15;12;40;715;15.21024563456685;41.02707501306126
CARPINETO ROMANO                                    ;41;36;18;13;5;3;560;13.083246429383774;41.6040160175149
CARPINONE                                           ;41;35;37;14;19;32.9;650;14.32493384210995;41.59263367517011
CASALBUONO                                          ;40;12;52;15;40;59.9;600;15.682476412958822;40.21344834109087
CASALETTO SPARTANO (Enel)                           ;40;8;56.5;15;37;12.4;325;15.61926879077148;40.148017434455646
CASALVELINO                                         ;40;11;27.1;15;6;31.9;175;15.1080063831572;40.18984124026464
CASALVIERI                                          ;41;39;48;13;42;4;409;13.7002040886478;41.6623492748936
CASAMARI                                            ;41;40;19;13;29;17;287;13.487144905940614;41.67096431271552
CASAMICCIOLA / CASAMICCIOLA (Osservatorio)          ;40;44;46;13;54;51.3;123;13.913368138688973;40.74509964777846
CASELLE IN PITTARI SABETTA (Enel) (Contrada Sabetta);40;11;31.5;15;33;19.8;306;15.554671827929491;40.191085450094825
CASERTA                                             ;41;4;6.1;14;19;10.9;58;14.31882520923438;41.06735728618587
CASERTA (Genio Civile)                              ;41;4;18;14;19;54.9;63;14.331050809688035;41.070689795108876
CASORIA LUFRANO                                     ;40;53;27.2;14;20;6.4;20;14.334228467672817;40.88987933587425
CASSANO IRPINO                                      ;40;52;20.5;15;1;39.9;513;15.026889839876404;40.87136689797164
CASSINO (Colonia Solare)                            ;41;29;18;13;49;29.9;79;13.824093487733464;41.48735297303298
CASSINO (Genio Civile)                              ;41;29;38;13;49;42;75;13.82743117608408;41.492908444862316
CASTEL SAN VINCENZO /CASTEL SAN VINCENZO (Enel)     ;41;39;6;14;3;40;706;14.060213316818;41.65068936288829
CASTELCIVITA                                        ;40;29;46;15;13;58.9;422;15.232189315028185;40.49512417085982
CASTELFRANCO IN MISCANO                             ;41;17;57;15;5;3.9;763;15.083572839084425;41.29819448130759
CASTELGRANDE                                        ;40;47;6;15;25;11;891;15.418860649590842;40.78402073525471
CASTELLABATE                                        ;40;16;43.1;14;57;4.9;200;14.950512503534721;40.27762325124429
CASTELLAMARE DI STABIA                              ;40;41;30;14;28;16.9;27;14.47049562949455;40.690679199142025
CASTELLAMMARE DI DI STABIA (Quisisana)              ;40;41;12.2;14;29;22.2;157;14.488641219503275;40.685716181675886
CASTELLO D'ALIFE                                    ;41;22;6;14;22;11;438;14.368829684628992;41.367357061464524
CASTELLONORATO                                      ;41;17;0.6;13;41;1;300;13.6827185690197;41.28251759926121
CASTELLUCCIO COSENTINO                              ;40;34;58.2;15;20;19.4;428;15.337874993143119;40.58183510475155
CASTELNUOVO CILENTO                                 ;40;13;38.9;15;9;48.3;34;15.162579379273206;40.22647274701953
CASTELNUOVO PARANO                                  ;41;22;6.1;13;45;10.9;292;13.752149977233351;41.36735714740551
CASTELPIZZUTO                                       ;41;31;18.6;14;17;36;838;14.292458109716682;41.52083105478046
CASTELVOLTURNO                                      ;41;1;59.7;13;56;44.8;2;13.944906450717957;41.03224690150421
CAVA DE' TIRRENI (Ente Provinciale Turismo)         ;40;42;6.7;14;42;23.9;199;14.705779814764416;40.70086052169848
CAVA DE' TIRRENI (Frazione Badia)                   ;40;40;59.8;14;41;33.5;356;14.691767661112845;40.68228419679326
CECCANO                                             ;41;34;13.5;13;20;29.3;125;13.34058049743691;41.56943463842995
CELANO                                              ;42;5;20;13;32;29;779;13.540475255153611;42.08790589130711
CELLOLE                                             ;41;11;54.9;13;50;12.2;7;13.835842391204485;41.197596627556536
CELLOLE-Fasano (Enel)                               ;41;14;10.8;13;52;39.9;48;13.876877067987108;41.235340662674595
CEPRANO                                             ;41;33;15;13;31;26;126;13.522977019659844;41.55318855272958
CEPRANO (Colle Mezzo) / CEPRANO (Enel)              ;41;33;6;13;31;11;105;13.518813480552183;41.550685098747515
CERCEMAGGIORE                                       ;41;28;6;14;43;11;950;14.718842978713937;41.46735862080537
CERCHIO                                             ;42;4;4;13;35;57.9;826;13.598528802832869;42.06679867578838
CERRETO COGNOLE                                     ;40;14;48.6;15;39;35.9;570;15.65912256624372;40.245827869203495
CERRETO SANNITA                                     ;41;17;10.6;14;33;35.4;286;14.558959516732646;41.28529162676449
CERVARO                                             ;41;29;2.8;13;54;18.4;256;13.904206356940827;41.483118185396776
CETARA                                              ;40;38;55.6;14;42;4.2;27;14.700300420648741;40.647767406937334
CETRONICO                                           ;40;48;36.1;14;42;32.2;288;14.70808873759288;40.809031856097484
CICERALE / CICERALE CILENTO                         ;40;21;6;15;8;10.9;433;15.135511016274107;40.35067344370074
CIMITILE                                            ;40;56;29.5;14;31;15.1;35;14.519991300930133;40.940527658773746
CIVITA D'ANTINO                                     ;41;53;12;13;28;16;894;13.470192934809067;41.88568195774728
CIVITELLA LICINIO                                   ;41;18;41;14;31;36.9;396;14.526056943087761;41.310409345526175
CIVITELLA ROVETO                                    ;41;54;54.3;13;25;49.4;530;13.429469980746012;41.91409666567224
COLLE SANNITA                                       ;41;21;32.4;14;49;56.8;741;14.831573474173695;41.35802048985674
COLLEFERRO                                          ;41;44;11;12;59;48.9;235;12.996016446831721;41.735400482892096
COLLEPARDO (Trisulti)                               ;41;46;51;13;23;52.9;803;13.397133882536938;41.779849955127986
COLLETORCINO (Colletorto)                           ;41;27;6;14;5;11;163;14.085493404822742;41.450691027718165
COLLI AL VOLTURNO / COLLI AL VOLTURNO (Enel)        ;41;36;57;14;5;42.9;349;14.094376292903402;41.61485439387137
CONCA MARINI                                        ;40;37;6.1;14;34;10.9;213;14.568832180736578;40.61735237543996
CONTURSI                                            ;40;39;21.2;15;13;45.5;125;15.228460267204145;40.6548940506147
CORENO AUSONIA                                      ;41;20;50.4;13;46;53.7;351;13.780676117466482;41.34634258850901
CUSANO MUTRI                                        ;41;20;30;14;30;20.5;463;14.504825965345681;41.34067563266714
DESERTO DI MASSALUBRENSE                            ;40;36;42;14;21;55.9;451;14.364656617528874;40.610680117720875
DRAGONI                                             ;41;16;17.2;14;18;45.3;118;14.31171591420978;41.2704503033057
EBOLI                                               ;40;37;28.2;15;3;30;170;15.057471588253879;40.623512129226576
ERCOLANO / VESUVIO (Osservatorio)                   ;40;49;45;14;23;51.9;583;14.396882702194475;40.828183733118195
ESPERIA INFERIORE                                   ;41;23;11;13;41;5.9;306;13.684088208628644;41.385406068653765
FAICCHIO                                            ;41;16;47;14;28;51;182;14.479944271253327;41.2787464898087
FELITTO                                             ;40;22;33;15;14;24.8;265;15.239385531635351;40.37482079913812
 FERENTINO                                              ;41;41;40;13;15;27;340;13.256584576173797;41.6934653183209
FILIGNANO                                              ;41;32;33.9;14;3;41.6;464;14.060665335475242;41.54176133304122
FIUGGI (Fonte/Fonte Vecchia) / FIUGGI                  ;41;47;32;13;13;17;603;13.220468472351117;41.79123559344227
FLUMERI                                                ;41;4;43;15;8;58.9;601;15.148849684502496;41.07763393277126
FOCE SELE                                              ;40;29;1.9;14;56;57.4;2;14.948438940439978;40.48285047587585
FONTANA LIRI (Diga Cerasoli - Enel)                    ;41;37;7;13;32;24;181;13.539091046713203;41.61763164162062
FONTANA LIRI (Enel) / FONTANA LIRI SUPERIORE           ;41;36;43;13;34;25;409;13.572701258153206;41.610965530538714
FONTANA LIRI (Fontecupa)                               ;41;38;13.2;13;33;2.3;196;13.549733434527713;41.63601428274688
FONTANA DELL'OLMO                                      ;40;48;32;14;55;18.9;568;14.921073636871089;40.80790574747562
FORINO                                                 ;40;51;41;14;44;23.9;405;14.739116438389116;40.86040909866345
FORIO D'ISCHIA                                         ;40;43;38.6;13;52;46.6;234;13.87871750791947;40.726391200892984
FORLI' DEL SANNIO                                      ;41;41;48;14;10;44.9;609;14.178266106972401;41.69569230306864
FORMICOLA                                              ;41;12;37.8;14;13;50.7;202;14.229884590038013;41.20951743181058
FORNELLI                                               ;41;36;6;14;8;11;400;14.13549349201106;41.600687568900014
FRIGENTO                                               ;41;0;49;15;6;3;897;15.099967554561855;41.012630238911164
FROSINONE (Genio Civile ) / FROSINONE                  ;41;38;20;13;20;50;174;13.346304633354572;41.637905546675846
FUCINO (Borgo Via Nuova E. F.)                         ;42;1;6;13;27;10.9;663;13.452137075117637;42.01734653562746
FUCINO St.28;41;57;17;13;38;17;662;13.637145085243144;41.953739254887154
FUCINO St.39;41;57;17.7;13;29;11.8;664;13.485706611538422;41.95393083696729
FUSARO                                                 ;40;49;38.1;14;3;6.4;1;14.050912524005996;40.826252591444515
GAETA (Elena) / ELENA /GAETA                           ;41;13;6;13;33;10.9;95;13.552138946855472;41.2173478645372
GAETA (Istituto Nautico)                               ;41;12;48;13;34;12.9;15;13.569366126341986;41.21234790162094
GAETA (Torre Orlando)                                  ;41;12;26.6;13;34;18.6;32;13.570950717290227;41.2064046381931
GALLO (Enel)                                           ;41;27;39.6;14;13;41.4;825;14.22729949049947;41.46001776230912
GAURO                                                  ;40;42;54.8;14;57;48.9;312;14.96271666924452;40.714210854961976
GIFFONI VALLEPIANA                                     ;40;43;3.9;14;56;37.8;192;14.942978386812536;40.71674322131751
