nome2;idSensoreTemp;nome;idSensorePrec;latitudine.x;longitudine.x;latitudine.y;longitudine.y;distanzakm
Rocca d'evandro meteo  1;38786;Rocca d'evandro meteo 1;38784;41.42448444;13.88005;41.4244644;13.8803;0.0209865368693928
Rocca d'evandro meteo  2;38798;Rocca d'evandro meteo 2;38796;41.42444444;13.88;41.42444444;13.88;0
Roccadaspide;36897;Roccadaspide;36896;40.47583333;15.17027778;40.47583333;15.17027778;0
Roccamonfina;22717;Roccamonfina;21792;41.27694444;13.96805556;41.27694444;13.96805556;0
Rocchetta;37284;Rocchetta;37283;41.12444444;14.97055556;41.12444444;14.97055556;0
S.angelo d'alife;17273;S.angelo d'alife;17272;41.35333333;14.23638889;41.35333333;14.23638889;0
S.bartolomeo meteo  1;36240;S.bartolomeo in galdo meteo 1;36246;41.42197444;15.04056556;41.4221444;15.0405655555556;0.018919860658866
S.bartolomeo meteo  2;36256;S.bartolomeo in galdo meteo 2;36262;41.42194444;15.04055556;41.42194444;15.04055556;0
S.marco evangelista meteo  1;38662;S.marco evangelista meteo 1;38667;41.02255;14.33588333;41.02252;14.3358533333333;0.00418324888125122
S.marco evangelista meteo  2;38674;S.marco evangelista meteo 2;38679;41.0225;14.33583333;41.0225;14.33583333;0
S.maria a vico;36900;S.maria a vico;36899;41.0275;14.48583333;41.0275;14.48583333;0
S.mauro;12295;S.mauro;12294;40.76388889;14.63222222;40.76388889;14.63222222;0
S.pietro;12291;S.pietro;12290;40.81833333;14.78694444;40.81833333;14.78694444;0
S.salvatore telesino meteo  1;38590;S.salvatore telesino meteo 1;38595;41.24669667;14.47279778;41.2466867;14.4727977777778;0.00110985533930219
S.salvatore telesino meteo  2;38602;S.salvatore telesino meteo 2;38608;41.24666667;14.47277778;41.24666667;14.47277778;0
Sala consilina;36909;Sala consilina;36908;40.39416667;15.60305556;40.39416667;15.60305556;0
Salerno meteo  1;36398;Salerno meteo 1;36403;40.64365111;14.83641889;40.6436311;14.8364088888889;0.00238230708325479
Salerno meteo  2;36410;Salerno meteo 2;36415;40.64361111;14.83638889;40.64361111;14.83638889;0
Sanza;38497;Sanza;38496;40.24416667;15.55333333;40.24416667;15.55333333;0
Senerchia;12287;Senerchia;12286;40.73861111;15.20555556;40.73861111;15.20555556;0
Serino;21747;Serino;21746;40.89111111;14.84444444;40.89111111;14.84444444;0
Sora;21797;Sora;21519;41.72222222;13.61944444;41.72222222;13.61944444;0
Sorgenti grassano;18395;Sorgenti grassano;18393;41.22194444;14.50166667;41.22194444;14.50166667;0
Torchiara;38531;Torchiara;38530;40.32055556;15.0575;40.32055556;15.0575;0
Torraca;38549;Torraca;38548;40.11555556;15.6275;40.11555556;15.6275;0
Torre orsaia meteo  1;36269;Torre orsaia meteo 1;36275;40.13197444;15.45865111;40.1321444;15.4587111111111;0.0195969329021511
Torre orsaia meteo  2;36282;Torre orsaia meteo 2;36288;40.13194444;15.45861111;40.13194444;15.45861111;0
Torriello;15286;Torriello;15285;40.8475;14.62583333;40.8475;14.62583333;0
Tramonti;21736;Tramonti;21735;40.70277778;14.64611111;40.70277778;14.64611111;0
Vallo della lucania;37295;Vallo della lucania;37294;40.22972222;15.2625;40.22972222;15.2625;0
S.mauro la bruca;38546;S.mauro la bruca;38545;40.12777778;15.28833333;40.12777778;15.28833333;0
Cellole meteo  2;36316;Cellole meteo 2;36322;41.19611111;13.83833333;41.19611111;13.83833333;0
Colle sannita;20898;Colle sannita;20897;41.36861111;14.83916667;41.36861111;14.83916667;0
Contursi meteo;17256;Contursi meteo;17255;40.67583333;15.25194444;40.67583333;15.25194444;0
